variable,UHogar,RHogar,UPersonas,RPersonas
informante,0,0,1,1
ing_arriendos,1,1,0,0
ing_ayudas,1,0,0,0
ing_hextras,0,0,0,1
ing_intereses_div,1,1,0,0
ing_otros_nrem,1,1,0,0
ing_pensiones,1,1,0,0
ing_t_actagr,0,1,0,0
ing_t_actnag,0,1,0,0
ing_t_vtaanimales,0,1,0,0
ing_t_vtapastos,0,1,0,0
ing_trabajo,1,1,0,0
inundacion,1,1,0,0
jovenes_accion,1,1,0,0
junta_edif,0,0,1,1
lee_escribe,0,0,1,1
llave_id_lb,0,0,1,1
lotes,1,1,0,0
lugar_ahorra,0,0,1,1
lugar_ahorra_cual,0,0,1,1
lugar_nacimiento,0,0,1,1
lugar_vivia,0,0,1,1
lugar_vivia5,0,0,1,1
madre_vive,0,0,1,1
malestar,0,0,1,1
maquinaria,1,0,0,0
material_paredes,1,1,0,0
material_pisos,1,1,0,0
medio_busco,0,0,1,0
medio_busco_cual,0,0,1,0
medio_cons_cual,0,0,1,0
medio_consiguio,0,0,1,0
mes_dejo_t,0,0,1,0
mes_inicio,0,0,1,1
mes_inicio_ta,0,0,1,0
mes_llevaviviendo,1,1,0,0
mes_retiro,0,0,1,0
mes_unionm,0,0,1,1
meses_adqviv,1,0,0,0
meses_busc_trab,0,0,1,0
meses_dejo,0,0,1,0
meses_dejo_trab,0,0,1,0
meses_duro,0,0,1,0
meses_ganancia,0,0,1,0
meses_ocupa_vivienda,1,1,0,0
meses_plazo_1,1,1,0,0
meses_plazo_10,1,0,0,0
meses_plazo_11,1,0,0,0
meses_plazo_12,1,0,0,0
meses_plazo_13,1,0,0,0
meses_plazo_14,1,0,0,0
meses_plazo_15,1,0,0,0
meses_plazo_16,1,0,0,0
meses_plazo_2,1,1,0,0
meses_plazo_3,1,1,0,0
meses_plazo_4,1,1,0,0
meses_plazo_5,1,1,0,0
meses_plazo_6,1,1,0,0
meses_plazo_7,1,1,0,0
meses_plazo_8,1,1,0,0
meses_plazo_9,1,0,0,0
meses_retiro,0,0,1,0
meses_trabaja,0,0,1,0
min_activ1_ma,0,0,0,1
min_activ1_no,0,0,0,1
min_activ1_ta,0,0,0,1
min_activ2_ma,0,0,0,1
min_activ2_no,0,0,0,1
min_activ2_ta,0,0,0,1
min_activ3_ma,0,0,0,1
min_activ3_no,0,0,0,1
min_activ3_ta,0,0,0,1
min_activ4_ma,0,0,0,1
min_activ4_no,0,0,0,1
min_activ4_ta,0,0,0,1
min_activ5_ma,0,0,0,1
min_activ5_no,0,0,0,1
min_activ5_ta,0,0,0,1
min_activ6_ma,0,0,0,1
min_activ6_no,0,0,0,1
min_activ6_ta,0,0,0,1
motocicletas,1,1,0,0
mov_parpol,0,0,1,1
movilidad,0,0,1,1
mudez,0,0,1,1
n_aire_acondicionado,1,1,0,0
n_bicicletas,1,1,0,0
n_calentadores,1,1,0,0
n_computadores,1,1,0,0
n_duchas,1,1,0,0
n_empleados,0,0,1,0
n_empleados_pt,0,0,1,0
n_empleados_tenia,0,0,1,0
n_equipos_sonido,1,1,0,0
n_equipos_video,1,1,0,0
n_hornos,1,1,0,0
n_internet,1,1,0,0
n_lavadoras,1,1,0,0
n_licuadoras,1,1,0,0
n_microondas,1,1,0,0
n_neveras,1,1,0,0
n_otros_bienes,1,1,0,0
n_radios,1,1,0,0
n_secadoras,1,0,0,0
n_television_cable,1,1,0,0
n_televisores,1,1,0,0
n_vecesc_1,0,1,0,0
n_vecesc_2,0,1,0,0
